stockSymbol,stockName,dailyClose,volatility,avgVolume
ATAX,America First Tax...,4.98,59.102,"216,546"
ATCO,Atlas Corp. Commo...,6.6,65.61,"772,189"
ATCX,Atlas Technical C...,6.14,87.541,"90,054"
ATEC,Alphatec Holdings...,2.44,112.272,"609,696"
ATEN,"A10 Networks, Inc.",4.28,87.33,"345,532"
ATEX,"pdvWireless, Inc.",38.95,48.366,"127,248"
ATGE,Adtalem Global Ed...,22.25,49.468,"499,107"
ATH,Athene Holding Ltd.,18.3,116.947,"2,151,278"
ATHE,Alterity Therapeu...,0.38,80.465,"69,923"
ATHM,Autohome Inc.,67.87,27.773,"727,870"
ATHX,"Athersys, Inc.",1.85,46.731,"1,143,210"
ATI,Allegheny Technol...,7.53,119.703,"2,101,056"
ATIF,ATIF Holdings Lim...,1.83,28.988,"135,251"
ATIS,Attis Industries ...,0.19,119.883,"614,136"
ATKR,Atkore Internatio...,15.25,102.291,"422,519"
ATLC,Atlanticus Holdin...,5.35,109.469,"44,623"
ATLO,Ames National Cor...,21,49.056,"14,158"
ATNI,Atlantic Tele-Net...,62.75,40.539,"48,502"
ATNM,Actinium Pharmace...,0.18,55.158,"3,653,474"
ATNX,"Athenex, Inc.",6.99,93.578,"658,882"
ATO,Atmos Energy Corp...,98.51,24.339,"1,025,020"
ATOM,Atomera Incorporated,2.91,78.731,"98,403"
ATOS,Atossa Genetics Inc.,0.83,73.067,"79,975"
ATR,"AptarGroup, Inc.",98.88,21.832,"360,757"
ATRA,Atara Biotherapeu...,7.98,92.906,"648,946"
ATRC,"AtriCure, Inc.",27.23,59.244,"402,777"
ATRI,ATRION Corporation,656,18.431,"7,612"
ATRO,Astronics Corpora...,10.15,97.592,"258,919"
ATRS,"Antares Pharma, Inc.",1.86,72.699,"1,632,640"
ATSG,Air Transport Ser...,19.11,44.117,"560,003"
ATTO,Atento S.A.,1.24,119.582,"100,767"
ATUS,"Altice USA, Inc.",19.24,61.28,"7,475,725"
ATV,Acorn Internation...,9.06,55.188,"8,423"
ATVI,Activision Blizza...,54.13,18.881,"7,569,231"
ATXI,Avenue Therapeuti...,6.87,46.131,"70,919"
AU,AngloGold Ashanti...,15.41,50.753,"3,836,536"
AUB,Atlantic Union Ba...,23.7,64.928,"352,311"
AUBN,Auburn National B...,31.58,79.585,"4,468"
