"Stock","stock5yrMeans","Year","YearMeanValue","Direction5yr10PercentChange","nTimesDecr10_5yr","nTimesIncr10_5yr","nTimesDecrFromZero_5yrs","nTimesIncrFromZero_5yrs"
"WFC.Close",52.1354323993813,2016,48.9573810634921,"down10",2,1,NA,2
"WFC.Close",52.1354323993813,2017,54.9799203665339,"up10",2,1,NA,2
"WFC.Close",52.1354323993813,2018,55.283904498008,"up",2,1,NA,2
"WFC.Close",52.1354323993813,2019,48.862499984127,"down10",2,1,NA,2
"WFC.Close",52.1354323993813,2020,49.953333,"up",2,1,NA,2
"WM.Close",83.9403728867572,2015,51.5974602738095,"",NA,4,NA,1
"WM.Close",83.9403728867572,2016,62.0321032896825,"up10",NA,4,NA,1
"WM.Close",83.9403728867572,2017,75.4068524342629,"up10",NA,4,NA,1
"WM.Close",83.9403728867572,2018,86.7568523426295,"up10",NA,4,NA,1
"WM.Close",83.9403728867572,2019,109.085634980159,"up10",NA,4,NA,1
"WM.Close",83.9403728867572,2020,118.763334,"up",NA,4,NA,1
"WMT.Close",89.6644855794336,2015,72.491111218254,"",NA,3,1,1
"WMT.Close",89.6644855794336,2016,69.547063468254,"down",NA,3,1,1
"WMT.Close",89.6644855794336,2017,78.9623906494024,"up10",NA,3,1,1
"WMT.Close",89.6644855794336,2018,92.3698404541833,"up10",NA,3,1,1
"WMT.Close",89.6644855794336,2019,108.405555638889,"up10",NA,3,1,1
"WMT.Close",89.6644855794336,2020,116.210952047619,"up",NA,3,1,1
"WWE.Close",42.5369822838593,2015,16.3656349047619,"",1,4,NA,NA
"WWE.Close",42.5369822838593,2016,18.3765476388889,"up10",1,4,NA,NA
"WWE.Close",42.5369822838593,2017,22.4424700756972,"up10",1,4,NA,NA
"WWE.Close",42.5369822838593,2018,61.0647011195219,"up10",1,4,NA,NA
"WWE.Close",42.5369822838593,2019,75.1092066309524,"up10",1,4,NA,NA
"WWE.Close",42.5369822838593,2020,61.8633333333333,"down10",1,4,NA,NA
"XOM.Close",78.7369955725405,2015,82.8284525039683,"",NA,NA,4,1
"XOM.Close",78.7369955725405,2016,86.219682468254,"up",NA,NA,4,1
"XOM.Close",78.7369955725405,2017,81.8615937091633,"down",NA,NA,4,1
"XOM.Close",78.7369955725405,2018,79.9556969721116,"down",NA,NA,4,1
"XOM.Close",78.7369955725405,2019,73.7346426388889,"down",NA,NA,4,1
"XOM.Close",78.7369955725405,2020,67.8219051428571,"down",NA,NA,4,1
